Date,User,Tweet
2013-12-26 11:32:05+00:00,sambitswaraj,"Victory of Truth...Falsehood falls flat...@narendramodi emerges as the follower of ""RAJDHARMA""...#NaMoWins"
2013-12-26 09:35:30+00:00,sambitswaraj,Beware Congress!!..people of India will 'Snoop' you till you are Routed #PoliticalVendetta
2013-12-26 09:33:28+00:00,sambitswaraj,Congress Snooze's the Facts Scooped out about 'Adarsh' Scam  while walks an extra Vendetta mile on a frivolous 'Snoop' #PoliticalVendetta
2013-12-26 04:00:10+00:00,sambitswaraj,Too Early to Judge the real Intentions of AAP-whether its for 'Seva' or 'Power' says Dr Patra IBN http://t.co/CyWZmOFGan
2013-12-26 03:48:00+00:00,sambitswaraj,Why cutting Delhi electricity tariff by 50% is impossible http://t.co/17h8VdOeuY
2013-12-26 02:53:48+00:00,sambitswaraj,In Politics Tokenism should always occupy the Peripheral &amp; Governance the Central part of discussion-Dr Patra to NDTV http://t.co/cFUQXzzQPu
2013-12-25 13:35:21+00:00,sambitswaraj,Friends today(25/12/13) I would also be on @ibnkhabar (IBN-7) at 8pm #AAPCon
2013-12-25 09:56:15+00:00,sambitswaraj,Friends today(25/12/13) I would be on @ndtv 24×7 at 6.30pm #AAPCon
2013-12-25 07:43:50+00:00,sambitswaraj,My views on Delhi Water Woes &amp; it's Solution on NDTV Badi Khabar with Nidhi Kulpati and former Cheif Secy Sailajaji http://t.co/mW9mFD3D3q
2013-12-25 05:16:17+00:00,sambitswaraj,"""KHEER"" khane gaye thee Kumar Viswas Binny ke ghar...hmm ""Kheer"" nahin ""Raiyta"" saaf  karnee gaye thee-my take on INDIA NEWS"
2013-12-25 04:47:31+00:00,sambitswaraj,INDIA NEWS debate starts now..
2013-12-25 04:15:07+00:00,sambitswaraj,It is a relation of Convenience-Congress wants Breathing Time &amp; AAP wants National Prominence -Dr Patra  http://t.co/TdF9f23boU via @ibnlive
2013-12-25 03:55:13+00:00,sambitswaraj,Friends today(25th Dec) I would be on INDIA NEWS 10am to 1pm #AAPCon ..pls watch :-)
2013-12-25 03:51:14+00:00,sambitswaraj,I take the opportunity of wishing you all a Merry Christmas and a Happy New Year ahead..take a break for urshelves &amp; have a blast !!!
2013-12-25 03:45:49+00:00,sambitswaraj,May we wish the Poet Heart former PM of India Atal Bihari Vajpayee a very Happy Birthday #AtalWeLove
2013-12-24 17:12:13+00:00,sambitswaraj,"On a debate they were saying- Poor AAP fell for Congress' trap!!..hmm, I said ""Only a hungry &amp; greedy Rat runs into the Trap!"" #AAPbunnyFool"
2013-12-24 16:54:52+00:00,sambitswaraj,"Binny shows ""Lal Batti"" to AAP #AAPbunnyFool"
2013-12-24 16:22:02+00:00,sambitswaraj,@ibnlive debate with @sardesairajdeep &amp; @pallavighcnnibn just set in to begin...keep a watch friends #AAPCon
2013-12-24 15:31:45+00:00,sambitswaraj,"Has ""ALTERNATIVE POLITICS""  being ""ALTERED""?? #AAPCrumbles"
2013-12-24 15:27:04+00:00,sambitswaraj,"""Alternative Route"" by leaders of a Political Party which was crediting itself for ushering in ""Alternative Politics""???"
2013-12-24 15:17:14+00:00,sambitswaraj,"That's why Maturity, Organizational structure &amp; Discipline r of paramount importance before forming Political Party-Badmouthing is nt enough"
2013-12-24 14:25:38+00:00,sambitswaraj,Friends today (24/12/13) I would be on @ibnlive (CNN-IBN) at 9.40pm #AAPCon
2013-12-24 11:32:44+00:00,sambitswaraj,Friends today (24/12/2003) I would be on @ndtv India at 6pm with @nidhikulpati #AAPCon ..Pls watch
2013-12-24 07:30:23+00:00,sambitswaraj,"""Governance"" and not mere ""Symbolism"" should be the dictating term of any govt that promises Radical Changes #AAPCon"
2013-12-24 04:18:16+00:00,sambitswaraj,I ws asked on a debate y'day Why Modi doesn't move in an Alto Car without security?I said u dare not conspire to eliminate the hero of India
2013-12-24 04:03:25+00:00,sambitswaraj,Comparing the Incomparables only produces Futile Debates-says Dr Patra on Modi vs Rahul debateNEWSX http://t.co/LUkmAVoJMF? via @newsxonline
2013-12-24 03:36:10+00:00,sambitswaraj,By which Car Modi moves is unimportant;how many people has he enabled to move in car is important- Dr Patra to IBN http://t.co/OOBPnqtwGw
2013-12-23 15:27:11+00:00,sambitswaraj,I would also be on @DDnews at 9pm
2013-12-23 14:24:49+00:00,sambitswaraj,I would be on @ibnkhabar (IBN-7) at 8pm with @ashutoshibn7 #AAPCon
2013-12-23 12:22:47+00:00,sambitswaraj,On @ibnlive (CNN-IBN) at 6pm #AAPCon
2013-12-23 10:54:05+00:00,sambitswaraj,Friends I would also be on @indianews (INDIA NEWS) at 5pm and on @ibnlive (CNN-IBN) at 6pm #AAPCon
2013-12-23 08:44:39+00:00,sambitswaraj,@indiatvnews debate starts. ..
2013-12-23 08:23:44+00:00,sambitswaraj,"Cong-AAP alliance: The hand will hold the broom and run govt, says Dr Patra - Video | The Times of India http://t.co/YmTBswS2JT"
2013-12-23 08:00:01+00:00,sambitswaraj,Pls watch me on @indiatvnews (INDIA TV) at 2pm #AAPCon
2013-12-23 06:00:31+00:00,sambitswaraj,Would be on @ibnkhabar (IBN-7) at 11.30am..pls watch #AAPCon marraige reception
2013-12-23 05:12:35+00:00,sambitswaraj,@praveensanap @timesnow great ha ha..I  RT ed
2013-12-23 04:57:42+00:00,sambitswaraj,"""Can Popular Sanction act as the Ganges to purify 'Chor's' &amp; 'Dalal's' ""my question to AAP on @timesnow"
2013-12-23 04:42:03+00:00,sambitswaraj,"""The Majoritarian party in Delhi BJP has been Victimized by CONGRESS(K) -Congress Kejriwal"" my statement to @timesnow"
2013-12-23 04:30:23+00:00,sambitswaraj,@MPARMAR47 @timesnow marraige ceremony #AAPCon
2013-12-23 04:27:00+00:00,sambitswaraj,@timesnow debate begins. .
2013-12-23 03:51:19+00:00,sambitswaraj,Indeed it's a Unique phenomenon...how a few Congress men called themselves Aam Admi and fooled the electorate !!!
2013-12-23 03:34:46+00:00,sambitswaraj,I am dumbfounded...the way AAPtards &amp; the Congis have  United in the twitterati to abuse the BJP..Ahshirwad of Ahmed Patel (AAP) indeed!!
2013-12-23 02:58:47+00:00,sambitswaraj,Friends GM today (23/12/13) I would be @timesnow at 10am #AAPCon marriage reception
2013-12-22 16:50:06+00:00,sambitswaraj,Friends tomorrow(23/12/13) I would be on @timesnow at 10am..pls watch over tea :-)
2013-12-22 16:33:58+00:00,sambitswaraj,"Returning home after very hectic TV debates,tired..but I really longed 2 see Dr Harsh Vardhan as Delhi's CM..such a meaningfull man he is!"
2013-12-22 15:00:53+00:00,sambitswaraj,@BRIGBIN did not get u sir :-)
2013-12-22 14:34:01+00:00,sambitswaraj,@indiatvnews INDIA TV debate starts now...
2013-12-22 13:33:45+00:00,sambitswaraj,Friends today(22/12/13) I would also be on @indiatvnews (INDIA TV) at 8pm and on @SaharaSamay at 9pm..pls watch
2013-12-22 12:38:07+00:00,sambitswaraj,On @ibnkhabar (IBN-7) debate now..6.15pm..pls watch
2013-12-22 11:27:13+00:00,sambitswaraj,@abpnewstv debate on Delhi Govt formation with @nehapant19 about to start at 5pm
2013-12-22 10:34:53+00:00,sambitswaraj,Friends today (22/12/13) I would be on @abpnewstv (ABP NEWS) at 5pm and on @ibnkhabar (IBN-7) at 6pm ..pls watch
2013-12-22 10:09:21+00:00,sambitswaraj,@smallmike3  video uploaded
2013-12-22 10:08:17+00:00,sambitswaraj,@SN_VERMA the video is uploaded..#aapexposed
2013-12-22 09:06:10+00:00,sambitswaraj,@rightbrain09 video uploaded..
2013-12-22 09:05:02+00:00,sambitswaraj,@drgpradhan video uploaded sir..pls check my recent most tweet :-)
