2014-04-06 08:25:33+00:00,ShashiTharoor,"Passed my Shiv Sena opponent P.Harikumar during paryadanam near Punthura. Exchanged greetings, shawls, &amp;best wishes! http://t.co/lcRxyqwwqj",103,250,7
2014-04-06 07:58:23+00:00,ShashiTharoor,Another photograph of my celebrity campaigner (my mother!) enjoying paryadanam this morning despite the rain &amp; heat! http://t.co/xGABIYti33,103,250,7
2014-04-06 06:01:56+00:00,ShashiTharoor,"Made a non-political visit&amp;spoke@ Kurisumala y-day, a major pilgrimage centre 4 lakhs of Latin Catholic pilgrims frm South Kerala&amp;Tamil Nadu",103,250,7
2014-04-06 05:54:28+00:00,ShashiTharoor,"25 young ""Shashi Tharoors"" out campaigning in the city 4 me as our paryadanam covers other parts of the constituency! http://t.co/UJW8L4BiuA",103,250,7
2014-04-06 05:25:25+00:00,ShashiTharoor,"After 2 weeks of sweltering heat,now 2 hrs of soaking rain! Neither's dampened the enthusiasm of supporters lining up 2 greet my paryadanam!",103,250,7
2014-04-06 05:22:21+00:00,ShashiTharoor,Rahul returned to campaign in Haryana today but was very upbeat and confident that we are doing better nationwide than the media suggests!,103,250,7
2014-04-06 05:21:12+00:00,ShashiTharoor,Found a photo from yesterday in Attingal when I translated for the second time for Congress VP Rahul Gandhi. http://t.co/QljwpJnYbI,103,250,7
2014-04-06 05:18:26+00:00,ShashiTharoor,@sarikass2010 thank you very much for your support and enthusiasm!,103,250,7
2014-04-06 04:19:53+00:00,ShashiTharoor,"In a season when celebrities campaign for candidates, here's the chief celebrity of my election campaign- my mother! http://t.co/siyX2SYnjA",103,250,7
2014-04-05 14:49:30+00:00,ShashiTharoor,Excellent @the_hindu edit raises serious questions about Modi&amp; foreign policy http://t.co/cnCjqYgzv1,103,250,7
2014-04-05 10:38:18+00:00,ShashiTharoor,Posting again “@the5forty5:The beginning of a new social media romance? @ShashiTharoor's arrival on @instagram: http://t.co/PTP5s1IhMy”,103,250,7
2014-04-05 07:40:30+00:00,ShashiTharoor,Inspecting a delicious looking fresh tomato at a local market in Neyyattinkara while interacting with a constituent! http://t.co/673QNfagZq,103,250,7
2014-04-05 05:36:18+00:00,ShashiTharoor,Also took the opportunity of my visit to NIMS to interact with and greet some of the staff and doctors on duty. http://t.co/fsUHQIGypH,103,250,7
2014-04-05 05:34:27+00:00,ShashiTharoor,With Dr Faisal Khan of NIMS hospital next to a mango tree I planted as a sapling in 2011 in the hospital compound! http://t.co/56TbobRlFG,103,250,7
2014-04-05 05:24:48+00:00,ShashiTharoor,"Despite malicious campaign against me, my innocence will triumph&amp;I shall be patient until that day. Reinvigorated aftr meeting Mammen-ji",103,250,7
2014-04-05 05:14:22+00:00,ShashiTharoor,Honored when KE Mammen-ji said he admired my work&amp;that he would come out frm hospital specially 2vote 4me on April10! http://t.co/nTU3102Efl,103,250,7
2014-04-05 05:11:55+00:00,ShashiTharoor,Called on famous Gandhian KE Mammen @ NIMS Hospital.He was the 1st person to ask me 2 contest as MP for Tvm in 2009! http://t.co/qyw3sRzbvK,103,250,7
2014-04-05 02:06:58+00:00,ShashiTharoor,Dialoguew/young voters&amp; @ShashiTharoor on @asianet : Youth Tube ശശി തരൂര്‍ Part 1: http://t.co/y4m1fFMdy0 Part 2: http://t.co/Bi7ifpDobe,103,250,7
2014-04-04 19:41:42+00:00,ShashiTharoor,"Will the real @ShashiTharoor please stand up? With kids in ST masks, Kazhakuttam,  on paryadanam today http://t.co/v89lSoGtR2",103,250,7
2014-04-04 15:40:14+00:00,ShashiTharoor,With music legend Yesudas! “@wilsonrobinson2: @ShashiTharoor http://t.co/n5EUJu7kwg”,103,250,7
2014-04-04 12:31:20+00:00,ShashiTharoor,With a young supporter who came dressed as me!! http://t.co/0J7imCYACP,103,250,7
2014-04-04 10:07:40+00:00,ShashiTharoor,This is one of my favorite paryadanam pictures with an extremely cheerful little constituent! http://t.co/QBoMl3a4ea,103,250,7
2014-04-04 10:04:07+00:00,ShashiTharoor,Malayalam documentary made by a supporter on my work in Thiruvananthapuram. Part 1:  http://t.co/hqd324PhC0 &amp; part 2: http://t.co/hurzLgoFRK,103,250,7
2014-04-04 05:40:43+00:00,ShashiTharoor,"A news feature about my campaign in coastal areas of Tvm. Despite paryadanam rigours, energized by all the support! https://t.co/9AJkDYw3bY",103,250,7
2014-04-03 17:00:14+00:00,ShashiTharoor,"During paryadanam over the last many days, I've been garlanded with flowers, lemons, oranges, and now balloons! http://t.co/mhfF3Qfz9C",103,250,7
2014-04-03 10:57:37+00:00,ShashiTharoor,@anurishu that's how I see it too! Thank you,103,250,7
2014-04-03 10:42:45+00:00,ShashiTharoor,Presented a sacred kalasam during the course of today's paryadanam at Kattayikonam by some supporters! http://t.co/K6qDo1zos6,103,250,7
2014-04-03 09:41:34+00:00,ShashiTharoor,Almost at 200 'followers' on my new Instagram profile at http://t.co/HUEPDF3wRP !,103,250,7
2014-04-03 06:01:37+00:00,ShashiTharoor,Began paryadanam 2day with prayers @Kolathukara Siva Temple consecrated 1893 by gr8 social reformer Sri Narayana Guru http://t.co/I5TZvkGuGS,103,250,7
2014-04-03 02:57:33+00:00,ShashiTharoor,A tea break on the campaign trail! Never enough time for chai or charcha... http://t.co/qQPCVwHt3L,103,250,7
2014-04-02 13:35:31+00:00,ShashiTharoor,"After a long day in Kovalam, paryadanam continues into the evening. Here addressing constituents at Thadathikulam. http://t.co/fkFHhKdilF",103,250,7
2014-04-02 12:17:21+00:00,ShashiTharoor,"The word ""candidate"" is derived from Latin for ""robed in white"". Glad the Indian National Congress got it right! http://t.co/QqmeBk29aP",103,250,7
2014-04-02 11:17:56+00:00,ShashiTharoor,"Broke for some much-needed tea at a local stall in Nellikkakuzhi, attended to by an exceedingly warm supporter! http://t.co/k7Ybfw1O6Y",103,250,7
2014-04-02 11:06:13+00:00,ShashiTharoor,Performed pushparchana at memorial to philanthropist&amp;former MLA Kunjukrishnan Nadar at the start of paryadanam today. http://t.co/39O68zmyUs,103,250,7
